ID,From,,To,,Google,FFS
,Lat,Long,Lat,Long,Dist(km),
N99-N100,30.134057,31.451922,30.134147,31.456321,0.423,90
N100-N101,30.134147,31.456321,30.132003,31.462324,0.642,92
N101-N102,30.132003,31.462324,30.122606,31.463653,1.139,93
N102-N103,30.122606,31.463653,30.119183,31.460970,0.46,100
N103-N104,30.119183,31.460970,30.115433,31.458400,0.485,100
N104-N105,30.115433,31.458400,30.092672,31.441518,3.007,102
N105-N106,30.092672,31.441518,30.089737,31.439346,0.388,103
N106-N107,30.089737,31.439346,30.085151,31.436942,0.564,103
N107-N108,30.085151,31.436942,30.079760,31.435360,0.619,88
N108-N109,30.079760,31.435360,30.078796,31.434928,0.115,86
N109-N110,30.078796,31.434928,30.073901,31.431716,0.628,86
N110-N111,30.073901,31.431716,30.065854,31.422001,1.298,93
N111-N112,30.065854,31.422001,30.062240,31.418006,0.558,96
N112-N113,30.062240,31.418006,30.056586,31.413247,0.778,93
N113-N114,30.056586,31.413247,30.048974,31.407019,1.038,96
N114-N115,30.048974,31.407019,30.047617,31.406181,0.171,99
N115-N116,30.047617,31.406181,30.043809,31.404702,0.448,99
N116-N117,30.043809,31.404702,30.042016,31.404361,0.202,99
N117-N118,30.042016,31.404361,30.029396,31.402590,1.414,93
N118-N119,30.029396,31.402590,30.021794,31.401537,0.851,93
N119-N120,30.021794,31.401537,30.012445,31.400233,1.047,96
N120-N121,30.012445,31.400233,30.010136,31.399925,0.258,96
N121-N122,30.010136,31.399925,29.996792,31.391451,1.747,98
N122-N123,29.996792,31.391451,29.994787,31.387390,0.452,110
N123-N124,29.994787,31.387390,29.994242,31.385852,0.16,110
N124-N125,29.994242,31.385852,29.989045,31.371999,1.454,109
N125-N126,29.989045,31.371999,29.983878,31.366239,0.82,98
N126-N127,29.983878,31.366239,29.981337,31.364526,0.328,101
N127-N128,29.981337,31.364526,29.980190,31.363192,0.175,101
N128-N129,29.980190,31.363192,29.979041,31.354324,0.897,101
N129-N130,29.979041,31.354324,29.980350,31.350499,0.396,105
N130-N131,29.980350,31.350499,29.981187,31.345966,0.448,105
N131-N132,29.981187,31.345966,29.984280,31.322472,2.29,93
N132-N133,29.984280,31.322472,29.984344,31.319927,0.246,87
N133-N134,29.984344,31.319927,29.984239,31.316978,0.285,87
N134-N135,29.984239,31.316978,29.985022,31.313955,0.306,92
N135-N136,29.985022,31.313955,29.986533,31.309812,0.433,92
N136-N137,29.986533,31.309812,29.986923,31.308785,0.108,95
N137-N138,29.986923,31.308785,29.987772,31.305707,0.312,95
N138-N139,29.987772,31.305707,29.989968,31.297869,0.795,95
N139-N1,29.989968,31.297869,29.992715,31.290508,0.773,96
O1-O2,29.992376,31.291087,29.988322,31.302364,1.177,88
O2-O3,29.988322,31.302364,29.984563,31.314642,1.258,87
O3-O4,29.984563,31.314642,29.984103,31.319022,0.431,85
O4-O5,29.984103,31.319022,29.984203,31.321764,0.264,93
O5-O6,29.984203,31.321764,29.983516,31.325661,0.383,93
O6-O7,29.983516,31.325661,29.981653,31.340923,1.485,91
O7-O8,29.981653,31.340923,29.981041,31.345992,0.493,89
O8-O9,29.981041,31.345992,29.979787,31.351527,0.553,90
O9-O10,29.979787,31.351527,29.978861,31.354405,0.296,90
